amount_inr,hour_of_day,day_of_week,tx_count_last_1h,tx_count_last_24h,amount_sum_last_1h,amount_vs_avg_ratio,ip_country_match,card_country_match,is_new_device,merchant_risk_score,mcc_risk_tier,device_age_days,unique_merchants_24h,is_first_transaction,is_fraud,is_weekend,is_night
5942.302374591095,12,3,1,1,4409.847422226067,1.3081388202179023,1,1,0,0.34149436829136603,0,339.1061676573269,6,0,0,0,0
760.2991064700312,18,2,1,3,1898.3597164619496,0.5849537261196252,1,1,0,0.11544878316762114,1,29.24284148808222,1,0,0,0,0
784.6740228362803,5,4,1,5,2040.0518002285912,1.0877743053574829,1,1,0,0.20514894730665123,0,126.81915473311109,6,0,0,0,1
3926.1444763363997,13,4,3,8,1356.5012707482854,0.7928146620854509,1,1,0,0.056263922756897386,0,66.17849553292344,1,1,0,0,0
1674.7117606142615,10,0,1,8,1333.1344095749043,1.389683073243978,1,1,0,0.27797325395171657,1,34.977208423158274,3,0,0,0,0
1755.5830484657374,12,6,1,12,9844.272371545383,0.8799331408276367,1,1,0,0.32883833873360113,0,84.0927033939974,2,0,0,1,0
595.0398445165091,7,3,4,9,2000.9308346120695,0.75288582742023,1,1,0,0.045752845357135107,0,102.0371238370269,2,0,0,0,0
3217.74314902125,11,2,2,11,17086.943709264353,1.195011094200121,1,1,0,0.3225907505375435,0,380.76170368112605,2,0,0,0,0
4288.083192030394,10,1,3,12,182.94340978094212,1.0679843763080505,1,1,0,0.34565858731917004,0,77.98745694531613,5,0,0,0,0
10275.362471622913,14,4,1,11,3681.5918341993633,1.1216643548825767,1,1,0,0.1336897505416977,0,69.5026465685204,4,0,0,0,0
292.52305534720216,17,6,1,6,3645.00469679681,1.2883735104082936,1,1,0,0.23588100979804147,0,534.1228708975085,4,0,0,1,0
7143.122051626713,9,0,2,9,6169.923180248896,0.7058713283206167,1,1,0,0.06697808923938155,0,90.8994250739354,3,0,0,0,0
4626.643829272042,14,3,2,5,1699.4804763975435,0.45880783867358554,1,1,0,0.10701348482695727,1,314.23223145467097,5,0,0,0,0
11005.263208312574,9,0,2,6,35076.88125128857,1.197117122114592,1,1,0,0.0467433664009481,0,29.212365225376697,5,0,0,0,0
265.02726368008547,8,0,0,13,3109.6281484986334,1.1019987946583116,1,1,1,0.018215780382177072,0,74.08540110347735,2,0,0,0,0
2842.095956603189,12,3,3,6,4240.300390093544,0.7674107677647364,1,1,0,0.09510955575972022,0,701.5406413474806,2,0,0,0,0
7869.483039928132,10,2,2,6,2522.060516719145,0.30706387490010856,1,1,0,0.4715515459294241,0,152.85820907247563,4,0,0,0,0
4255.588230108278,14,3,2,3,1340.1123721005333,0.6271837179179272,1,1,0,0.17432613846172268,1,143.5863264835243,3,0,0,0,0
3878.3520993165957,12,0,2,6,224.24615944303,1.025970735422135,1,1,0,0.31668310973564645,0,172.36119680784975,5,0,0,0,0
2182.5836460530672,7,2,2,6,1566.2076453245431,0.8325271463113006,1,1,0,0.09655032369517691,1,144.5844560303697,2,0,0,0,0
2336.3811771964206,9,4,0,7,2540.773384566591,0.9829974274571405,1,1,0,0.3008878545135636,2,50.65706413480285,0,0,0,0,0
854.3259047266579,5,4,3,9,465.76246689101254,0.5767612119709407,1,1,0,0.23639352374012176,0,107.41683674526257,0,0,0,0,1
19329.002032952725,18,4,2,14,11697.55719535547,1.1478133527492524,1,1,0,0.172076213191493,0,341.0476784896887,3,1,0,0,0
7381.430564685617,13,5,0,9,1509.264639454391,1.0060552560122227,1,1,0,0.05510816989837648,0,352.5645305979634,2,0,0,1,0
8196.703697459487,15,5,1,8,4288.1220910684315,0.8487938513377423,1,1,0,0.03862238882240896,1,22.84578598257252,5,0,0,1,0
51695.78937150606,5,2,3,14,1114.213590090519,18.213351536070473,0,1,0,0.8391279096184421,0,45.130374723305216,1,0,1,0,1
2752.640461429986,19,3,2,9,7036.689671601869,0.8404082778911248,1,1,0,0.2475869226731687,0,80.46504540391257,5,0,0,0,0
1489.384813730389,17,6,3,11,2784.322656809767,1.2447515984515936,1,1,0,0.1733275494657677,0,221.81266530593152,2,0,0,1,0
6302.662558459552,11,3,4,8,1385.4341347513425,1.1023900662566464,1,1,0,0.3060890698307249,2,182.31914687148526,4,0,0,0,0
2126.3627375737,12,5,2,7,2017.5810952451907,1.3226903384061488,1,1,0,0.2784911292686356,0,22.998026558640973,2,0,0,1,0
5955.097393336031,13,4,0,13,2143.768238663148,1.2475575648545532,0,1,0,0.28834129273552206,2,248.46621060085474,7,0,0,0,0
15457.182778503582,17,4,3,6,496.9844590328191,0.5921658129530848,1,1,0,0.36853885024284244,0,11.166285769270843,2,0,0,0,0
